"ubigeo","actasContabilizadas","contabilizadas","totalActas","participacionCiudadana","actasEnviadasJee","enviadasJee","actasPendientesJee","pendientesJee","fechaActualizacion","idUbigeoDepartamento","idUbigeoProvincia","idUbigeoDistrito","idUbigeoDistritoElectoral","totalVotosEmitidos","totalVotosValidos","porcentajeVotosEmitidos","porcentajeVotosValidos"
"010415",100,3,3,70.261,0,0,0,0,1781051880116,10000,10400,10415,NA,430,405,100,100
"010416",100,3,3,63.328,0,0,0,0,1781051880116,10000,10400,10416,NA,392,360,100,100
"010417",100,4,4,63.576,0,0,0,0,1781051880116,10000,10400,10417,NA,672,625,100,100
"010418",100,2,2,58.153,0,0,0,0,1781051880116,10000,10400,10418,NA,296,282,100,100
"010419",100,7,7,59.386,0,0,0,0,1781051880116,10000,10400,10419,NA,1044,996,100,100
"010420",100,12,12,57.798,0,0,0,0,1781051880116,10000,10400,10420,NA,1575,1478,100,100
"010421",100,5,5,71.733,0,0,0,0,1781051880116,10000,10400,10421,NA,977,923,100,100
"010422",100,4,4,74.738,0,0,0,0,1781051880116,10000,10400,10422,NA,855,818,100,100
"010423",100,5,5,52.528,0,0,0,0,1781051880116,10000,10400,10423,NA,696,649,100,100
"010501",100,15,15,65.462,0,0,0,0,1781051880116,10000,10500,10501,NA,2807,2566,100,100
"010502",100,3,3,70.224,0,0,0,0,1781051880116,10000,10500,10502,NA,533,493,100,100
"010503",100,8,8,48.577,0,0,0,0,1781051880116,10000,10500,10503,NA,1007,938,100,100
"010504",100,10,10,68.545,0,0,0,0,1781051880116,10000,10500,10504,NA,1715,1580,100,100
"010505",100,6,6,59.905,0,0,0,0,1781051880116,10000,10500,10505,NA,880,819,100,100
"010506",100,6,6,69.882,0,0,0,0,1781051880116,10000,10500,10506,NA,1065,998,100,100
"010507",100,3,3,53.914,0,0,0,0,1781051880116,10000,10500,10507,NA,365,343,100,100
"010508",100,6,6,69.94,0,0,0,0,1781051880116,10000,10500,10508,NA,1175,1091,100,100
"010509",100,29,29,52.784,0,0,0,0,1781051880116,10000,10500,10509,NA,4039,3750,100,100
"010510",100,3,3,71.912,0,0,0,0,1781051880116,10000,10500,10510,NA,425,393,100,100
"010511",100,2,2,53.846,0,0,0,0,1781051880116,10000,10500,10511,NA,266,259,100,100
"010512",100,11,11,58.602,0,0,0,0,1781051880116,10000,10500,10512,NA,1383,1301,100,100
"010601",100,86,86,38.178,0,0,0,0,1781051880116,10000,10600,10601,NA,9089,8716,100,100
"010602",100,47,47,34.355,0,0,0,0,1781051880116,10000,10600,10602,NA,4236,4124,100,100
"010603",100,41,41,43,0,0,0,0,1781051880116,10000,10600,10603,NA,4804,4668,100,100
"010701",100,152,152,67.881,0,0,0,0,1781051880116,10000,10700,10701,NA,28911,27071,100,100
"010702",100,77,77,61.979,0,0,0,0,1781051880116,10000,10700,10702,NA,13553,12746,100,100
"010703",100,27,27,64.753,0,0,0,0,1781051880116,10000,10700,10703,NA,4657,4419,100,100
"010704",100,19,19,68.755,0,0,0,0,1781051880116,10000,10700,10704,NA,3622,3409,100,100
"010705",100,22,22,65.52,0,0,0,0,1781051880116,10000,10700,10705,NA,3924,3769,100,100
"010706",100,29,29,67.566,0,0,0,0,1781051880116,10000,10700,10706,NA,5537,5231,100,100
"010707",100,13,13,62.301,0,0,0,0,1781051880116,10000,10700,10707,NA,1922,1817,100,100
"020101",100,167,167,78.747,0,0,0,0,1781051880116,20000,20100,20101,NA,38563,35321,100,100
"020102",97.814,179,183,77.863,2.186,4,0,0,1781051880116,20000,20100,20102,NA,41025,37701,100,100
"020103",100,7,7,46.154,0,0,0,0,1781051880116,20000,20100,20103,NA,822,763,100,100
"020104",100,2,2,68.73,0,0,0,0,1781051880116,20000,20100,20104,NA,211,199,100,100
"020105",100,8,8,54.051,0,0,0,0,1781051880116,20000,20100,20105,NA,1014,951,100,100
"020106",100,17,17,82.752,0,0,0,0,1781051880116,20000,20100,20106,NA,3699,3439,100,100
"020107",100,5,5,64.625,0,0,0,0,1781051880116,20000,20100,20107,NA,897,842,100,100
"020108",100,10,10,77.035,0,0,0,0,1781051880116,20000,20100,20108,NA,2110,1985,100,100
"020109",100,5,5,57.881,0,0,0,0,1781051880116,20000,20100,20109,NA,672,635,100,100
"020110",100,16,16,64.291,0,0,0,0,1781051880116,20000,20100,20110,NA,2769,2602,100,100
"020111",100,16,16,62.571,0,0,0,0,1781051880116,20000,20100,20111,NA,2546,2404,100,100
"020112",100,20,20,80.701,0,0,0,0,1781051880116,20000,20100,20112,NA,4353,3941,100,100
"020201",100,6,6,70.128,0,0,0,0,1781051880116,20000,20200,20201,NA,1202,1142,100,100
"020203",100,6,6,59.446,0,0,0,0,1781051880116,20000,20200,20203,NA,944,887,100,100
"020205",100,2,2,61.121,0,0,0,0,1781051880116,20000,20200,20205,NA,327,316,100,100
"020206",100,9,9,67.536,0,0,0,0,1781051880116,20000,20200,20206,NA,1373,1302,100,100
"020208",100,3,3,61.769,0,0,0,0,1781051880116,20000,20200,20208,NA,454,433,100,100
"020301",100,12,12,64.478,0,0,0,0,1781051880116,20000,20300,20301,NA,1944,1809,100,100
"020302",100,1,1,51.406,0,0,0,0,1781051880116,20000,20300,20302,NA,128,120,100,100
"020304",100,8,8,65.387,0,0,0,0,1781051880116,20000,20300,20304,NA,1226,1149,100,100
"020305",100,6,6,66.556,0,0,0,0,1781051880116,20000,20300,20305,NA,999,953,100,100
"020310",100,5,5,60.102,0,0,0,0,1781051880116,20000,20300,20310,NA,589,558,100,100
"020311",100,7,7,60.092,0,0,0,0,1781051880116,20000,20300,20311,NA,911,830,100,100
"020313",100,3,3,49.614,0,0,0,0,1781051880116,20000,20300,20313,NA,321,305,100,100
"020315",100,4,4,54.395,0,0,0,0,1781051880116,20000,20300,20315,NA,526,506,100,100
"020317",100,2,2,49.61,0,0,0,0,1781051880116,20000,20300,20317,NA,191,185,100,100
"020320",100,3,3,52.996,0,0,0,0,1781051880116,20000,20300,20320,NA,283,265,100,100
"020321",100,6,6,64.18,0,0,0,0,1781051880116,20000,20300,20321,NA,783,747,100,100
"020322",100,2,2,42.347,0,0,0,0,1781051880116,20000,20300,20322,NA,166,165,100,100
"020323",100,7,7,76.684,0,0,0,0,1781051880116,20000,20300,20323,NA,1309,1237,100,100
"020324",100,2,2,52.208,0,0,0,0,1781051880116,20000,20300,20324,NA,201,195,100,100
"020325",100,17,17,64.867,0,0,0,0,1781051880116,20000,20300,20325,NA,3148,2950,100,100
"020401",97.674,42,43,77.294,2.326,1,0,0,1781051880116,20000,20400,20401,NA,9545,8534,100,100
"020402",100,8,8,80.916,0,0,0,0,1781051880116,20000,20400,20402,NA,1819,1626,100,100
"020403",100,6,6,77.039,0,0,0,0,1781051880116,20000,20400,20403,NA,1275,1160,100,100
"020404",100,8,8,76.371,0,0,0,0,1781051880116,20000,20400,20404,NA,1755,1656,100,100
"020405",83.333,5,6,58.78,16.667,1,0,0,1781051880116,20000,20400,20405,NA,944,863,100,100
"020406",100,31,31,81.327,0,0,0,0,1781051880116,20000,20400,20406,NA,6829,6097,100,100
"020407",100,5,5,79.593,0,0,0,0,1781051880116,20000,20400,20407,NA,1018,917,100,100
"020408",100,9,9,76.543,0,0,0,0,1781051880116,20000,20400,20408,NA,1736,1544,100,100
"020409",100,11,11,70.695,0,0,0,0,1781051880116,20000,20400,20409,NA,2229,1998,100,100
"020410",100,10,10,79.217,0,0,0,0,1781051880116,20000,20400,20410,NA,2245,2067,100,100
"020411",91.667,11,12,72.818,8.333,1,0,0,1781051880116,20000,20400,20411,NA,2127,2016,100,100
"020501",98.947,94,95,77.355,1.053,1,0,0,1781051880116,20000,20500,20501,NA,21353,19642,100,100
"020502",100,15,15,79.67,0,0,0,0,1781051880116,20000,20500,20502,NA,3378,3171,100,100
"020503",88.889,8,9,73.384,11.111,1,0,0,1781051880116,20000,20500,20503,NA,1817,1685,100,100
"020505",100,24,24,76.957,0,0,0,0,1781051880116,20000,20500,20505,NA,5230,4763,100,100
"020601",100,5,5,53.552,0,0,0,0,1781051880116,20000,20600,20601,NA,686,625,100,100
"020602",100,2,2,56.098,0,0,0,0,1781051880116,20000,20600,20602,NA,207,195,100,100
"020603",100,2,2,61.654,0,0,0,0,1781051880116,20000,20600,20603,NA,246,239,100,100
"020604",100,9,9,66.751,0,0,0,0,1781051880116,20000,20600,20604,NA,1590,1510,100,100
"020605",100,4,4,58.779,0,0,0,0,1781051880116,20000,20600,20605,NA,549,510,100,100
"020606",100,3,3,63.813,0,0,0,0,1781051880116,20000,20600,20606,NA,395,366,100,100
